address,registration_date,gender,phone,birth_date,name,id_card,id,age,email
"*************","2025-03-29T21:30:56","男","138****8001","1993-01-01","张*","110101********0011","1","28","z*******@example.com"
"***********","2025-03-29T21:30:56","女","139****9002","1986-01-02","李*","110101********0022","2","35","l***@example.com"
"************","2025-03-29T21:30:56","男","137****7003","1979-01-03","王*","110101********0033","3","42","w*****@example.com"
"************","2025-03-29T21:30:56","女","136****6004","1990-01-04","赵*","110101********0044","4","31","z******@example.com"
"***********","2025-03-29T21:30:56","男","135****5005","1996-01-05","钱*","110101********0055","5","25","q*****@example.com"
"************","2025-03-29T21:30:56","女","134****4006","1983-01-06","孙*","110101********0066","6","38","s****@example.com"
"***********","2025-03-29T21:30:56","男","133****3007","1976-01-07","周*","110101********0077","7","45","z******@example.com"
"***********","2025-03-29T21:30:56","女","132****2008","1992-01-08","吴*","110101********0088","8","29","w****@example.com"
"***********","2025-03-29T21:30:56","男","131****1009","1988-01-09","郑**","110101********0099","9","33","z*********@example.com"
"************","2025-03-29T21:30:56","女","130****0010","1994-01-10","王**","110101********0100","10","27","w********@example.com"
"*********","2025-03-29T21:30:56","女","139****0001","1970-04-11","用***","110101********0011","11","21","u*****@example.com"
"*********","2025-03-29T21:30:56","男","139****0002","1970-07-20","用***","110101********0012","12","22","u*****@example.com"
"*********","2025-03-29T21:30:56","女","139****0003","1970-10-28","用***","110101********0013","13","23","u*****@example.com"
"*********","2025-03-29T21:30:56","男","139****0004","1971-02-05","用***","110101********0014","14","24","u*****@example.com"
"*********","2025-03-29T21:30:56","女","139****0005","1971-05-16","用***","110101********0015","15","25","u*****@example.com"
"*********","2025-03-29T21:30:56","男","139****0006","1971-08-24","用***","110101********0016","16","26","u*****@example.com"
"*********","2025-03-29T21:30:56","女","139****0007","1971-12-02","用***","110101********0017","17","27","u*****@example.com"
"*********","2025-03-29T21:30:56","男","139****0008","1972-03-11","用***","110101********0018","18","28","u*****@example.com"
"*********","2025-03-29T21:30:56","女","139****0009","1972-06-19","用***","110101********0019","19","29","u*****@example.com"
"*********","2025-03-29T21:30:56","男","139****0010","1972-09-27","用***","110101********0020","20","30","u*****@example.com"
